n_sites,n_defects,defect_density,defect_strength,arrangement_mode,defect_sites,mean_defect_distance,clustering_index,energy_gap,energy_bandwidth,mean_ipr,max_ipr,transport_descriptor,trial
40,7,0.175,1.0516407701874988,random,3;5;17;21;29;32;34,5.166666666666667,0.16216216216216214,0.2689513374880832,4.3838916754184325,0.09337119220334626,0.22321042919210027,0.788412734495218,86
40,10,0.25,3.2310552286828726,clustered,14;15;16;17;18;19;20;21;22;23,1.0,0.5,0.10388591585271545,7.1237271654855086,0.09440347974855941,0.13932522744136772,0.7438243169282986,87
40,4,0.1,3.9532104072351273,clustered,0;1;2;3,1.0,0.5,0.16732542879395806,7.592549187330407,0.06556447095421288,0.30132417826249785,0.8579533993356281,88
40,8,0.2,3.829181310013444,clustered,3;4;5;6;7;8;9;10,1.0,0.5,0.19612772577213144,7.708337242300718,0.09703094228245343,0.4566437378432626,0.770991629729548,89
40,5,0.125,2.7297585939692266,spread,0;9;19;29;39,9.75,0.09302325581395349,0.21619460009217528,5.306178429097288,0.12388830877831083,0.7633589773112219,0.8007121157041027,90
40,3,0.075,2.5589029998922723,random,1;21;26,12.5,0.07407407407407407,0.25741634818451664,5.234368182061377,0.10619991827609705,0.6718070200069207,0.8465967399146545,91
40,6,0.15,3.388898289187124,clustered,10;11;12;13;14;15,1.0,0.5,0.24335786001209758,7.1992227140087195,0.09190186129604662,0.2138369918789925,0.8052166046006258,92
40,10,0.25,2.048099444737626,clustered,0;1;2;3;4;5;6;7;8;9,1.0,0.5,0.16910561317606154,5.962067308843075,0.05746198063807577,0.13205996448775612,0.7648405956033794,93
40,5,0.125,3.7145466343044395,spread,0;9;19;29;39,9.75,0.09302325581395349,0.22684831251782311,6.136271563981184,0.13701072319972174,0.8648452942041025,0.7923862940439875,94
40,9,0.225,0.8870594384863868,clustered,31;32;33;34;35;36;37;38;39,1.0,0.5,0.15564787652948464,4.791960111024411,0.04844885022485096,0.1399068310642703,0.7852690744692504,95
40,3,0.075,1.4936795325241363,spread,0;19;39,19.5,0.04878048780487805,0.15449630331406894,4.4746694936841855,0.07064236147401329,0.40631577021553295,0.872872751242695,96
40,9,0.225,0.8724683615498401,spread,0;4;9;14;19;24;29;34;39,4.875,0.1702127659574468,0.14370391851789766,4.113683207736406,0.06034371807750325,0.22957768826715827,0.7780020129523847,97
40,8,0.2,2.829896576372879,spread,0;5;11;16;22;27;33;39,5.571428571428571,0.15217391304347827,0.05015375352834983,5.277601811750378,0.14509717883686152,0.7780312357022526,0.7434407087707406,98
40,4,0.1,0.8165425444444646,clustered,25;26;27;28,1.0,0.5,0.18108923803449706,4.57336533277889,0.05702519048466903,0.22008367004049204,0.8642854176589773,99
40,10,0.25,0.601498261215643,random,0;4;7;11;14;27;29;35;36;38,4.222222222222222,0.19148936170212766,0.1653296004971745,4.216097744569989,0.05897143646764878,0.19499004156129351,0.7639586106619485,100
40,10,0.25,1.3349348721958596,spread,0;4;8;13;17;21;26;30;34;39,4.333333333333333,0.1875,0.06998949940870425,4.286259277265116,0.08165071747266323,0.4014317128738877,0.7509476673417017,101
40,5,0.125,0.7003117905364113,spread,0;9;19;29;39,9.75,0.09302325581395349,0.1722311262076237,4.080570490628551,0.05211426910147356,0.09752922520032478,0.8495351948824219,102
40,8,0.2,3.7472840056029812,spread,0;5;11;16;22;27;33;39,5.571428571428571,0.15217391304347827,0.03244193408918283,6.039969911063601,0.16592343754632358,0.8670269212396481,0.7321054551903362,103
40,3,0.075,2.9434227439252303,spread,0;19;39,19.5,0.04878048780487805,0.1525680876297102,5.535609434337283,0.11689195290852976,0.7929913596802922,0.8390022246225735,104
40,9,0.225,0.6405295484147324,spread,0;4;9;14;19;24;29;34;39,4.875,0.1702127659574468,0.1485594644628685,4.055409678819116,0.05123019934466001,0.1604510408532351,0.7835577002593236,105
40,6,0.15,0.9372328775697507,random,18;19;21;24;25;28,2.0,0.3333333333333333,0.17571969916516972,4.503324225556747,0.06996876339796045,0.19488402495651827,0.8196931183833882,106
40,8,0.2,1.1756452180411643,random,3;8;18;20;23;24;28;36,4.714285714285714,0.175,0.1272668834749755,4.581725160786169,0.10414964025620552,0.25430998302429175,0.7667831735962033,107
40,6,0.15,1.1059474624787613,spread,0;7;15;23;31;39,7.8,0.11363636363636363,0.20730987216917707,4.215920650005442,0.06904984751428518,0.2357083516611154,0.8203110004394483,108
40,5,0.125,1.1423663010811165,random,13;17;21;22;36,5.75,0.14814814814814814,0.26359143080972913,4.570438854291012,0.08227722261879299,0.3264628164967466,0.8283101687538073,109
40,7,0.175,1.0079558913276738,random,10;15;18;20;21;27;32,3.6666666666666665,0.2142857142857143,0.08386843445148395,4.494034976944711,0.0909541553360858,0.2244284142955233,0.789918020162839,110
40,6,0.15,1.9141203675926808,clustered,31;32;33;34;35;36,1.0,0.5,0.1403026127202569,5.742975294063114,0.06958240396405532,0.3415805955083426,0.8199527942922609,111
40,6,0.15,0.9172613416921062,spread,0;7;15;23;31;39,7.8,0.11363636363636363,0.19855185486072968,4.1422640016143495,0.06160511606092896,0.1762544409472541,0.8253514175073129,112
40,4,0.1,1.4732644102344008,random,11;16;23;31,6.666666666666667,0.13043478260869565,0.14443236716958197,4.450086203058474,0.08676225143051568,0.2089731097985507,0.8426287563449261,113
40,10,0.25,1.93074088300044,clustered,26;27;28;29;30;31;32;33;34;35,1.0,0.5,0.10866701954127223,5.8465597119836215,0.07153539582674728,0.2787182163536024,0.7566955854212319,114
40,4,0.1,2.559071869431529,clustered,11;12;13;14,1.0,0.5,0.2238386882474943,6.237777017596697,0.0818846704520145,0.27708134997410866,0.8461062445437656,115
40,10,0.25,1.9644001545490113,random,3;4;7;12;14;15;20;21;22;28,2.7777777777777777,0.2647058823529412,0.10377345808773208,5.478965318756203,0.18596269150567932,0.5219425186415046,0.6963969230645188,116
40,7,0.175,2.0099636831296155,clustered,21;22;23;24;25;26;27,1.0,0.5,0.21742450541735758,5.862131841940091,0.07778595167115285,0.17183539640066695,0.7982209559949573,117
40,7,0.175,2.294587356123654,clustered,27;28;29;30;31;32;33,1.0,0.5,0.11734973653290304,6.15198139387374,0.07769524759535891,0.20730107095111505,0.7982787528886804,118
40,8,0.2,3.6024101035329767,random,9;10;17;19;26;28;30;31,3.142857142857143,0.24137931034482762,0.05698688837962784,6.7479833030398595,0.19162507076863822,0.4549187433557274,0.7185843522118128,119
