sample_id,n_sites,n_defects,defect_density,defect_strength,defect_sites,mean_defect_distance,clustering_index,mean_energy,energy_gap,energy_bandwidth,mean_ipr,max_ipr,transport_descriptor
792,40,7,0.175,1.1274769447384878,0;1;4;8;20;33;35,5.833333333333333,0.14634146341463417,0.19730846532923535,0.2264384902978761,4.428225095288926,0.08885445975923092,0.30364202765821735,0.791230344821906
793,40,4,0.1,0.8144043541713375,9;10;12;31,7.333333333333333,0.12000000000000002,0.08144043541713357,0.18123666470375255,4.395697418059312,0.06124070891403492,0.21694557974034337,0.8611479018292223
794,40,2,0.05,0.7111629795138718,17;27,10.0,0.09090909090909091,0.03555814897569365,0.16613680147031118,4.103435421130753,0.050975281379041816,0.10243185081461682,0.9082856054201653
795,40,10,0.25,1.497977017186991,2;9;14;15;21;24;29;30;34;36,3.7777777777777777,0.20930232558139536,0.3744942542967477,0.17042834816457533,4.759328153053946,0.14804653598517867,0.36048823450238193,0.7152837722210139
796,40,12,0.3,2.644282522381072,0;1;3;6;8;10;12;13;15;18;25;35,3.1818181818181817,0.2391304347826087,0.7932847567143216,0.07363477331751067,5.892691166654201,0.1864283099775947,0.4253600595173246,0.6727536022339841
797,40,8,0.2,1.759621475393914,0;12;16;19;24;26;27;34,4.857142857142857,0.17073170731707318,0.35192429507878276,0.14373819139565258,5.105711050491175,0.15652139284512243,0.5117976171668377,0.737179675362608
798,40,3,0.075,1.548859257924218,20;28;37,8.5,0.10526315789473684,0.11616444434431632,0.05851413985118899,4.511738625535806,0.07626003562997932,0.432130877148461,0.8686134922183687
799,40,12,0.3,0.630682016150421,0;1;3;7;12;13;17;22;24;26;28;31,2.8181818181818183,0.2619047619047619,0.18920460484512627,0.1291024995467931,4.186902562714289,0.06422996558195479,0.16666810646893296,0.7330142462993172
800,40,11,0.275,0.8254170442976907,1;3;5;14;15;16;17;23;25;29;39,3.8,0.20833333333333334,0.2269896871818649,0.17901466833731888,4.522653019054618,0.08630696347131432,0.2205531298535396,0.7345881765344193
801,40,4,0.1,0.22242731768760057,5;15;26;32,9.0,0.1,0.022242731768760016,0.15409212330372057,3.9995335338402302,0.03889935731727593,0.04903284989652306,0.8780407097213057
802,40,2,0.05,3.0249341839249455,20;32,12.0,0.07692307692307693,0.15124670919624722,0.14977272689945967,5.604678166358818,0.09057357245234363,0.35365606441628633,0.8767518590229153
803,40,5,0.125,2.81290901032116,9;13;22;23;35,6.5,0.13333333333333333,0.351613626290145,0.15806053729388686,6.013556106755603,0.1658377256743672,0.678263606010973,0.7746907144951732
804,40,5,0.125,0.6691491784486325,7;15;16;17;19,3.0,0.25,0.08364364730607907,0.13196405656379512,4.386324009251819,0.059453311075595205,0.19962930269177195,0.8442713534161221
