sample_id,n_sites,n_defects,defect_positions,defect_strength,mean_energy,energy_bandwidth,mean_ipr,max_ipr,transport_descriptor
68,40,6,8;9;22;24;35;37,2.142636499998785,0.3213954749998177,5.408889063689847,0.13474413928035914,0.4080558263565955,0.8812559284370375
69,40,6,2;3;4;16;30;35,3.6203472613177063,0.5430520891976558,7.093080304852376,0.1693849270810784,0.7729803890370964,0.8551504101357943
70,40,2,12;38,3.1399624090081826,0.15699812045040915,5.708875662034382,0.08540403911290192,0.7436388034856096,0.9213159007748835
71,40,4,23;29;30;37,2.1054691937426164,0.21054691937426165,5.410996638830805,0.1117529038247225,0.5655767316877971,0.8994804480021927
72,40,6,15;17;27;29;30;35,1.9637213686926085,0.29455820530389126,5.30425296762094,0.13189982899462943,0.5142757342492841,0.8834704046984575
73,40,1,16,1.0070227680626074,0.02517556920156524,4.223531590937107,0.052357251560943355,0.2703386807114232,0.9502476450052653
74,40,3,13;14;19,1.579909910935023,0.11849324332012667,4.946542806680155,0.08046634688275851,0.43109927109530405,0.9255262812072667
75,40,2,9;26,3.8005459141898275,0.19002729570949137,6.2626833997620555,0.10119865392043641,0.3945155295573393,0.9081013643086525
76,40,5,13;18;30;31;32,2.645090628184398,0.33063632852304986,6.144304136300745,0.12916328196137178,0.37494614601041915,0.8856115107311908
77,40,2,22;31,2.568378754143721,0.128418937707186,5.237345678555053,0.07638134788714275,0.3202772759305738,0.9290387667557845
78,40,1,11,2.966083333010134,0.07415208332525332,5.565920589332259,0.07407476004188487,0.6995475629754832,0.93103388814481
79,40,1,8,2.809712702392143,0.07024281755980359,5.439412060219536,0.07065915186632418,0.6776987015800582,0.9340040649321921
80,40,4,5;31;34;38,2.9302909502585646,0.2930290950258564,5.602975553556768,0.130482553989273,0.6947203846945941,0.8845780029697734
81,40,4,3;19;28;36,3.2234482867318768,0.32234482867318753,5.757878163753602,0.1465453479624507,0.7319782777607227,0.8721853015034429
82,40,3,17;22;31,3.789505544987588,0.28421291587406894,6.25846181818104,0.1146599856979805,0.7880275052013743,0.8971345637511314
83,40,1,10,2.4012959918974057,0.060032399797435146,5.114430695598028,0.06912850423345313,0.6110343233589992,0.9353412578939545
84,40,1,3,2.503046230094073,0.06257615575235172,5.19643048939251,0.06059324773760473,0.6303696716607029,0.9428685333733184
85,40,2,5;6,2.3324790047320136,0.11662395023660062,5.62418582738561,0.06877497045041593,0.41739445977621,0.9356506539244347
86,40,3,17;20;26,3.21705439439706,0.2412790795797795,5.818957241038293,0.1245552042853438,0.7301082909344717,0.8892404714231004
87,40,4,5;8;18;23,0.5567039070104309,0.055670390701042974,4.103865023327224,0.05286231771757268,0.12740442978881053,0.9497918038968578
88,40,5,3;16;18;24;28,1.4011872574801287,0.17514840718501615,4.576800451776709,0.10687418489310263,0.39280370158308203,0.9034450470055692
89,40,5,10;24;28;30;32,0.7146854296374987,0.08933567870468744,4.256556223414923,0.060163363471963736,0.15504328885880855,0.9432508559106091
90,40,6,3;5;17;21;29;34,3.7509459486700027,0.5626418923005005,6.376541553393844,0.19203023226400434,0.4337086077792636,0.8389048976557546
91,40,3,19;23;29,3.947863025204856,0.2960897268903643,6.412873955455728,0.13166538689676371,0.7957863852243742,0.8836534293429134
92,40,1,28,3.80965917401498,0.09524147935037437,6.291215029398842,0.07940078595661051,0.7897550872768726,0.9264399405766207
93,40,3,4;10;34,0.575494545506939,0.04316209091302048,4.088078991558415,0.04948609325192477,0.16412013530677408,0.952847309201985
94,40,3,1;22;27,1.8718400511828115,0.1403880038387108,4.737545700914142,0.09065344248247338,0.5517812427792436,0.9168815327111296
95,40,5,11;15;18;29;37,3.6819233925106616,0.46024042406383253,6.177306795037375,0.2064289787351344,0.7738941721297716,0.8288925561523213
96,40,5,4;15;20;28;39,3.363896660677659,0.42048708258470724,5.844872786171551,0.1853868261781781,0.8376069865709412,0.8436064733603575
97,40,1,4,3.996508448849531,0.09991271122123824,6.46150061542459,0.07043318610271206,0.8047254395730281,0.9342012308501487
98,40,1,26,2.6354875606793082,0.06588718901698269,5.295291008078114,0.07151758219441245,0.6510419161798098,0.93325580150729
99,40,4,3;25;34;39,0.6577853131498765,0.06577853131498759,4.098783640988457,0.052739835195006315,0.19586487144158693,0.9499023087834071
100,40,6,0;7;11;27;29;35,0.3014658763561558,0.04521988145342333,4.03911097156416,0.043465381894464694,0.09555390859766293,0.9583451615658287
101,40,5,9;21;30;36;37,3.223759029202537,0.40296987865031697,6.399002463658182,0.1644540141900432,0.7308860463935654,0.8587715683178505
102,40,6,4;27;28;32;37;39,0.587202349292008,0.08808035239380119,4.212222754652365,0.05552091478156805,0.18115930412236442,0.9473995124075227
103,40,5,18;19;21;25;28,2.96502225854713,0.3706277823183912,6.216972895189244,0.15090428372788017,0.44927711142917,0.8688819862247033
104,40,1,7,1.155959130139421,0.02889897825348555,4.301306736728204,0.050440656835445255,0.3134155856028716,0.9519814313095967
105,40,1,28,3.922798661104859,0.09806996652762151,6.391697480011733,0.07997121017944668,0.7989932692897592,0.9259506092147042
106,40,5,2;18;22;24;38,2.8673553118924207,0.3584194139865525,5.666434715541321,0.16594774392623224,0.7127039050561557,0.8576713709592019
107,40,3,3;6;14,3.922106000261351,0.2941579500196012,6.435101227479827,0.1201164260076836,0.7989373757383,0.892764338403819
108,40,4,10;16;20;30,0.6660079931936939,0.06660079931936934,4.106714626896665,0.057361695647634124,0.11996703191480884,0.9457501667747666
109,40,2,21;36,2.3542671416494145,0.11771335708247062,5.069537831194274,0.09431295709021267,0.6041861545641517,0.9138153702017825
110,40,4,9;17;25;38,2.082575679943074,0.20825756799430736,4.837866622986757,0.10556073669614068,0.5935508116687876,0.904518374077214
111,40,5,4;5;14;18;33,1.288347954667242,0.1610434943334052,4.688702469621235,0.09388510237998786,0.35097648277616733,0.91417279367301
112,40,4,15;16;23;29,1.6942541267719187,0.1694254126771918,5.028967101605669,0.09042981353587784,0.37890598888688465,0.9170695698032632
113,40,6,7;12;21;22;34;36,0.9798121859964228,0.14697182789946334,4.430860670374298,0.08182544524649263,0.29669087361389895,0.9243635416360088
114,40,1,22,2.3065104116844917,0.05766276029211228,5.034962329842993,0.07017501420403811,0.5933934314829827,0.9344266000676236
115,40,4,20;23;25;38,3.17098566574522,0.3170985665745219,5.935041348731458,0.13280825531950954,0.7468841809386003,0.8827619284235787
116,40,3,7;17;20,1.5065636043559916,0.11299227032669942,4.5772551112921,0.08740972979211299,0.40980387808884255,0.919616564577895
117,40,6,5;17;21;27;29;34,3.2194946019789623,0.4829241902968443,5.9277550356394535,0.20011516813616623,0.7311796581352574,0.8332533631360112
118,40,2,12;20,2.0271524214179513,0.10135762107089752,4.825361365611465,0.08027611623371166,0.269871745491258,0.9256892612662888
119,40,1,4,0.3810306735844804,0.009525766839611972,4.014299684393914,0.03946123289782778,0.10774369505543845,0.9620368401928592
120,40,6,2;10;22;29;35;37,2.996501010227834,0.4494751515341752,5.744176214925169,0.18233792186012673,0.6959767805940944,0.8457818881650506
121,40,6,0;15;16;26;30;33,0.566722967873088,0.08500844518096316,4.170157384915323,0.05901610960967145,0.20966543037583096,0.9442726989002806
122,40,4,3;13;19;37,1.3127498886909883,0.13127498886909883,4.382672604122123,0.08921716822920629,0.3811618919816713,0.9180905600540148
123,40,5,5;15;24;26;29,0.9153248685487416,0.1144156085685926,4.299767457018718,0.07122336835351453,0.16347854493919103,0.9335121222542168
124,40,5,6;17;18;27;39,2.2682807693109486,0.2835350961638686,5.5141769979494955,0.1501709933566526,0.6745375634284287,0.8694359410696018
125,40,2,32;39,0.6522239654182214,0.03261119827091095,4.0950496336405156,0.043444484979043796,0.17215161266744508,0.9583643542091113
126,40,4,13;15;16;32,1.7917382065581127,0.17917382065581125,5.158024747966649,0.09899595515549973,0.4821991415528216,0.909921456315558
127,40,3,6;17;35,3.6377041264092385,0.272827809480693,6.122610062068633,0.1376660114418439,0.7746053941596623,0.8789925953159398
128,40,6,1;7;8;11;22;39,0.4280498047718399,0.06420747071577598,4.127063247817635,0.05014471642199438,0.1409535269267402,0.9522497084089084
129,40,2,9;33,2.58659593186599,0.12932979659329943,5.2535394120912615,0.10111566855619976,0.6431007096494249,0.9081698031880845
130,40,4,15;24;26;31,1.5297727012371882,0.1529772701237188,4.674390876946992,0.10272346429724966,0.4039301595874735,0.9068456710833537
131,40,5,12;19;32;33;36,3.4228605158365593,0.4278575644795698,6.596458323209075,0.16495061660197013,0.7496422832270059,0.8584054858195513
132,40,3,16;19;36,3.416069765451515,0.2562052324088636,5.98264108487435,0.1194840625899554,0.7530723970938795,0.8932686345587396
133,40,3,12;19;22,0.5094208919946752,0.03820656689960057,4.093346437446257,0.049415457731575976,0.11892512754172092,0.9529114447786077
